description,column name
Unit ID for institution,UNITID
Institution name,INSTNM
City,CITY
State postcode,STABBR
ZIP code,ZIP
Predominant degree awarded (recoded 0s and 4s),SCH_DEG
Schools that are on Heightened Cash Monitoring 2 by the Department of Education,HCM2
Flag for main campus,MAIN
Number of branch campuses,NUMBRANCH
"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting",PREDDEG
"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree",HIGHDEG
Control of institution,CONTROL
FIPS code for state,ST_FIPS
Region (IPEDS),REGION
Admission rate,ADM_RATE
Admission rate for all campuses rolled up to the 6-digit OPE ID,ADM_RATE_ALL
25th percentile of SAT scores at the institution (critical reading),SATVR25
75th percentile of SAT scores at the institution (critical reading),SATVR75
25th percentile of SAT scores at the institution (math),SATMT25
75th percentile of SAT scores at the institution (math),SATMT75
25th percentile of SAT scores at the institution (writing),SATWR25
75th percentile of SAT scores at the institution (writing),SATWR75
Midpoint of SAT scores at the institution (critical reading),SATVRMID
Midpoint of SAT scores at the institution (math),SATMTMID
Midpoint of SAT scores at the institution (writing),SATWRMID
25th percentile of the ACT cumulative score,ACTCM25
75th percentile of the ACT cumulative score,ACTCM75
25th percentile of the ACT English score,ACTEN25
75th percentile of the ACT English score,ACTEN75
25th percentile of the ACT math score,ACTMT25
75th percentile of the ACT math score,ACTMT75
25th percentile of the ACT writing score,ACTWR25
75th percentile of the ACT writing score,ACTWR75
Midpoint of the ACT cumulative score,ACTCMMID
Midpoint of the ACT English score,ACTENMID
Midpoint of the ACT math score,ACTMTMID
Midpoint of the ACT writing score,ACTWRMID
Average SAT equivalent score of students admitted,SAT_AVG
Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,SAT_AVG_ALL
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",PCIP01
Percentage of degrees awarded in Natural Resources And Conservation.,PCIP03
Percentage of degrees awarded in Architecture And Related Services.,PCIP04
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",PCIP05
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",PCIP09
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,PCIP10
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,PCIP11
Percentage of degrees awarded in Personal And Culinary Services.,PCIP12
Percentage of degrees awarded in Education.,PCIP13
Percentage of degrees awarded in Engineering.,PCIP14
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,PCIP15
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",PCIP16
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,PCIP19
Percentage of degrees awarded in Legal Professions And Studies.,PCIP22
Percentage of degrees awarded in English Language And Literature/Letters.,PCIP23
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",PCIP24
Percentage of degrees awarded in Library Science.,PCIP25
Percentage of degrees awarded in Biological And Biomedical Sciences.,PCIP26
Percentage of degrees awarded in Mathematics And Statistics.,PCIP27
Percentage of degrees awarded in Military Technologies And Applied Sciences.,PCIP29
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,PCIP30
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",PCIP31
Percentage of degrees awarded in Philosophy And Religious Studies.,PCIP38
Percentage of degrees awarded in Theology And Religious Vocations.,PCIP39
Percentage of degrees awarded in Physical Sciences.,PCIP40
Percentage of degrees awarded in Science Technologies/Technicians.,PCIP41
Percentage of degrees awarded in Psychology.,PCIP42
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",PCIP43
Percentage of degrees awarded in Public Administration And Social Service Professions.,PCIP44
Percentage of degrees awarded in Social Sciences.,PCIP45
Percentage of degrees awarded in Construction Trades.,PCIP46
Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,PCIP47
Percentage of degrees awarded in Precision Production.,PCIP48
Percentage of degrees awarded in Transportation And Materials Moving.,PCIP49
Percentage of degrees awarded in Visual And Performing Arts.,PCIP50
Percentage of degrees awarded in Health Professions And Related Programs.,PCIP51
"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",PCIP52
Percentage of degrees awarded in History.,PCIP54
"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences.",CIP01CERT1
Enrollment of undergraduate certificate/degree-seeking students,UGDS
Total share of enrollment of undergraduate degree-seeking students who are white,UGDS_WHITE
Total share of enrollment of undergraduate degree-seeking students who are black,UGDS_BLACK
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,UGDS_HISP
Total share of enrollment of undergraduate degree-seeking students who are Asian,UGDS_ASIAN
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,UGDS_AIAN
Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,UGDS_NHPI
Total share of enrollment of undergraduate degree-seeking students who are two or more races,UGDS_2MOR
Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,UGDS_NRA
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,UGDS_UNKN
"Share of undergraduate, degree-/certificate-seeking students who are part-time",PPTUG_EF
"Share of undergraduate, degree-/certificate-seeking students who are part-time",PPTUG_EF2
Average net price for Title IV institutions (public institutions),NPT4_PUB
Average net price for Title IV institutions (private for-profit and nonprofit institutions),NPT4_PRIV
Average cost of attendance (academic year institutions),COSTT4_A
In-state tuition and fees,TUITIONFEE_IN
Out-of-state tuition and fees,TUITIONFEE_OUT
Net tuition revenue per full-time equivalent student,TUITFTE
Instructional expenditures per full-time equivalent student,INEXPFTE
Average faculty salary,AVGFACSAL
Proportion of faculty that is full-time,PFTFAC
